,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
02-22,0.0,0.0,0.0,0.0,0.02490001916885376,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,04-07,0.002263638106259433
02-23,0.0,0.0,0.0,0.0,0.02490001916885376,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,04-08,0.002263638106259433
02-24,0.0,0.0,0.0,0.0,0.02490001916885376,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,04-09,0.002263638106259433
02-25,0.0,0.0,0.0,0.0,0.034900009632110596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,04-10,0.0031727281483736906
02-26,0.0,0.0,0.0,0.0,0.034900009632110596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,04-11,0.0031727281483736906
02-27,0.0,0.0,0.0,0.0,0.034900009632110596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,04-12,0.0031727281483736906
02-28,0.0,0.0,0.0,0.0,0.034900009632110596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,04-13,0.0031727281483736906
02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,04-14,0.0
03-01,0.0,0.0,0.0,0.0,0.034900009632110596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,04-15,0.0031727281483736906
03-02,0.0,0.0,0.0,0.0,0.034900009632110596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,04-16,0.0031727281483736906
03-03,0.0,0.0,0.0,0.0,0.034900009632110596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,04-17,0.0031727281483736906
03-04,0.0,0.0,0.0,0.0,0.034900009632110596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,04-18,0.0031727281483736906
03-05,0.0,0.0,0.0,0.0,0.034900009632110596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,04-19,0.0031727281483736906
03-06,0.0,0.0,0.0,0.0,0.034900009632110596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,04-20,0.0031727281483736906
03-07,0.0,0.0,0.0,0.0,0.034900009632110596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,04-21,0.0031727281483736906
03-08,0.0,0.0,0.0,0.0,0.034900009632110596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,04-22,0.0031727281483736906
03-09,0.0,0.0,0.0,0.0,0.034900009632110596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,04-23,0.0031727281483736906
03-10,0.0,0.0,0.0,0.0,0.034900009632110596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,04-24,0.0031727281483736906
03-11,0.0,0.0,0.0,0.0,0.034900009632110596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,04-25,0.0031727281483736906
03-12,0.0,0.0,0.0,0.0,0.034900009632110596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,04-26,0.0031727281483736906
03-13,0.0,0.0,0.0,0.0,0.034900009632110596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,04-27,0.0031727281483736906
03-14,0.0,0.0,0.0,0.0,0.034900009632110596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,04-28,0.0031727281483736906
03-15,0.0,0.0,0.0,0.0,0.034900009632110596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,04-29,0.0031727281483736906
03-16,0.0,0.0,0.0,0.0,0.034900009632110596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,04-30,0.0031727281483736906
03-17,0.0,0.0,0.0,0.0,0.034900009632110596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,05-01,0.0031727281483736906
03-18,0.0,0.0,0.0,0.0,0.034900009632110596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,05-02,0.0031727281483736906
03-19,0.0,0.0,0.0,0.0,0.034900009632110596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,05-03,0.0031727281483736906
03-20,0.0,0.0,0.0,0.0,0.034900009632110596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,05-04,0.0031727281483736906
03-21,0.0,0.0,0.0,0.0,0.034900009632110596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,05-05,0.0031727281483736906
03-22,0.0,0.0,0.0,0.0,0.034900009632110596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,05-06,0.0031727281483736906
03-23,0.0,0.0,0.0,0.0,0.034900009632110596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,05-07,0.0031727281483736906
03-24,0.0,0.0,0.0,0.0,0.034900009632110596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,05-08,0.0031727281483736906
03-25,0.0,0.0,0.0,0.0,0.034900009632110596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,05-09,0.0031727281483736906
03-26,0.0,0.0,0.0,0.0,0.034900009632110596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,05-10,0.0031727281483736906
03-27,0.0,0.0,0.0,0.0,0.034900009632110596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,05-11,0.0031727281483736906
03-28,0.0,0.0,0.0,0.0,0.034900009632110596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,05-12,0.0031727281483736906
03-29,0.0,0.0,0.0,0.0,0.034900009632110596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,05-13,0.0031727281483736906
03-30,0.0,0.0,0.0,0.0,0.034900009632110596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,05-14,0.0031727281483736906
03-31,0.0,0.0,0.0,0.0,0.034900009632110596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,05-15,0.0031727281483736906
04-01,0.0,0.0,0.0,0.0,0.034900009632110596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,05-16,0.0031727281483736906
04-02,0.0,0.0,0.0,0.0,0.034900009632110596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,05-17,0.0031727281483736906
04-03,0.0,0.0,0.0,0.0,0.034900009632110596,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,05-18,0.0031727281483736906
04-04,0.0,0.0,0.0,0.0,0.009999990463256836,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,05-19,0.0009090900421142578
04-05,0.0,0.0,0.0,0.0,0.009999990463256836,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,05-20,0.0009090900421142578
04-06,0.0,0.0,0.0,0.0,0.009999990463256836,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,05-21,0.0009090900421142578
04-07,0.0,0.0,0.0,0.0,0.009999990463256836,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,05-22,0.0009090900421142578
04-08,0.0,0.0,0.0,0.0,0.009999990463256836,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,05-23,0.0009090900421142578
04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,05-24,0.0
04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,05-25,0.0
04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,05-26,0.0
04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,05-27,0.0
04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,05-28,0.0
04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,05-29,0.0
04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,05-30,0.0
04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,05-31,0.0
04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,06-01,0.0
04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,06-02,0.0
04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,06-03,0.0
04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,06-04,0.0
04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,06-05,0.0
04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,06-06,0.0
04-23,0.0,0.0,0.0,0.04999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,06-07,0.004545452919873324
04-24,0.0,0.0,0.0,0.04999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,06-08,0.004545452919873324
04-25,0.0,0.0,0.0,0.04999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,06-09,0.004545452919873324
04-26,0.0,0.0,0.0,0.04999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,06-10,0.004545452919873324
04-27,0.0,0.0,0.0,0.04999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,06-11,0.004545452919873324
04-28,0.0,0.0,0.0,0.04999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,06-12,0.004545452919873324
04-29,0.0,0.0,0.0,0.04999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,06-13,0.004545452919873324
04-30,0.0,0.0,0.0,0.04999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,06-14,0.004545452919873324
05-01,0.0,0.0,0.0,0.04999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,06-15,0.004545452919873324
05-02,0.0,0.0,0.0,0.04999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,06-16,0.004545452919873324
05-03,0.0,0.0,0.0,0.04999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,06-17,0.004545452919873324
05-04,0.0,0.0,0.0,0.04999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,06-18,0.004545452919873324
05-05,0.0,0.0,0.0,0.04999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,06-19,0.004545452919873324
05-06,0.0,0.0,0.0,0.04999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,06-20,0.004545452919873324
05-07,0.0,0.0,0.0,0.04999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,06-21,0.004545452919873324
05-08,0.0,0.0,0.0,0.04999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,06-22,0.004545452919873324
05-09,0.0,0.0,0.0,0.04999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,06-23,0.004545452919873324
05-10,0.0,0.0,0.0,0.04999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,06-24,0.004545452919873324
05-11,0.0,0.0,0.0,0.04999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,06-25,0.004545452919873324
05-12,0.0,0.0,0.0,0.04999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,06-26,0.004545452919873324
05-13,0.0,0.0,0.0,0.04999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,06-27,0.004545452919873324
05-14,0.0,0.0,0.0,0.04999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,06-28,0.004545452919873324
05-15,0.0,0.0,0.0,0.04999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,06-29,0.004545452919873324
05-16,0.0,0.0,0.0,0.04999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,06-30,0.004545452919873324
05-17,0.0,0.0,0.0,0.04999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,07-01,0.004545452919873324
05-18,0.0,0.0,0.0,0.04999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,07-02,0.004545452919873324
05-19,0.0,0.0,0.0,0.04999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,07-03,0.004545452919873324
05-20,0.0,0.0,0.0,0.04999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,07-04,0.004545452919873324
05-21,0.0,0.0,0.0,0.04999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,07-05,0.004545452919873324
05-22,0.0,0.0,0.0,0.04999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,07-06,0.004545452919873324
05-23,0.0,0.0,0.0,0.04999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,07-07,0.004545452919873324
05-24,0.0,0.0,0.0,0.04999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,07-08,0.004545452919873324
05-25,0.0,0.0,0.0,0.04999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,07-09,0.004545452919873324
05-26,0.0,0.0,0.0,0.04999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,07-10,0.004545452919873324
05-27,0.0,0.0,0.0,0.04999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,07-11,0.004545452919873324
05-28,0.0,0.0,0.0,0.04999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,07-12,0.004545452919873324
05-29,0.0,0.0,0.0,0.04999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,07-13,0.004545452919873324
05-30,0.0,0.0,0.0,0.04999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,07-14,0.004545452919873324
05-31,0.0,0.0,0.0,0.04999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,07-15,0.004545452919873324
06-01,0.0,0.0,0.0,0.04999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,07-16,0.004545452919873324
06-02,0.0,0.0,0.0,0.04999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,07-17,0.004545452919873324
06-03,0.0,0.0,0.0,0.04999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,07-18,0.004545452919873324
06-04,0.0,0.0,0.0,0.04999998211860657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,07-19,0.004545452919873324
06-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,07-20,0.0
06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,07-21,0.0
06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,07-22,0.0
06-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,07-23,0.0
06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,07-24,0.0
06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,07-25,0.0
06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,07-26,0.0
06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,07-27,0.0
06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,07-28,0.0
06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,07-29,0.0
06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,07-30,0.0
06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,07-31,0.0
06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,08-01,0.0
06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.041700005531311035,0.0,0.0,0.0,9.0,08-02,-0.0037909095937555485
06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.041700005531311035,0.0,0.0,0.0,9.0,08-03,-0.0037909095937555485
06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.041700005531311035,0.0,0.0,0.0,9.0,08-04,-0.0037909095937555485
06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.041700005531311035,0.0,0.0,0.0,9.0,08-05,-0.0037909095937555485
06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.041700005531311035,0.0,0.0,0.0,9.0,08-06,-0.0037909095937555485
06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.041700005531311035,0.0,0.0,0.0,9.0,08-07,-0.0037909095937555485
06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.041700005531311035,0.0,0.0,0.0,9.0,08-08,-0.0037909095937555485
06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.041700005531311035,0.0,0.0,0.0,9.0,08-09,-0.0037909095937555485
06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.041700005531311035,0.0,0.0,0.0,9.0,08-10,-0.0037909095937555485
06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.041700005531311035,0.0,0.0,0.0,9.0,08-11,-0.0037909095937555485
06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.041700005531311035,0.0,0.0,0.0,9.0,08-12,-0.0037909095937555485
06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.041700005531311035,0.0,0.0,0.0,9.0,08-13,-0.0037909095937555485
06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.041700005531311035,0.0,0.0,0.0,9.0,08-14,-0.0037909095937555485
07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.041700005531311035,0.0,0.0,0.0,9.0,08-15,-0.0037909095937555485
07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.041700005531311035,0.0,0.0,0.0,9.0,08-16,-0.0037909095937555485
07-03,0.0,0.0,0.04999999701976776,0.0,0.0,0.0,0.0,0.0,-0.041700005531311035,0.0,0.0,1.0,8.0,08-17,0.0007545446807687932
07-05,0.0,0.0,0.04999999701976776,0.0,0.0,0.0,0.0,0.0,-0.041700005531311035,0.0,0.0,1.0,8.0,08-19,0.0007545446807687932
07-06,0.0,0.0,0.04999999701976776,0.0,0.0,0.0,0.0,0.0,-0.041700005531311035,0.0,0.0,1.0,8.0,08-20,0.0007545446807687932
07-07,0.0,0.0,0.04999999701976776,0.0,0.0,0.0,0.0,0.0,-0.041700005531311035,0.0,0.0,1.0,8.0,08-21,0.0007545446807687932
07-08,0.0,0.0,0.04999999701976776,0.0,0.0,0.0,0.0,0.0,-0.041700005531311035,0.0,0.0,1.0,8.0,08-22,0.0007545446807687932
07-09,0.0,0.0,0.04999999701976776,0.0,0.0,0.0,0.0,0.0,-0.041700005531311035,0.0,0.0,1.0,8.0,08-23,0.0007545446807687932
